wave,condition,item,profile_mae,exact_match
2012,neutral_verbal,a421,0.9419999999999998,0.388
2012,original,a421,0.9,0.41
2012,original_verbal,a421,0.75,0.5
2012,paraphrased,a421,1.25,0.25
2018,neutral_verbal,a421,1.1779999999999997,0.354
2018,original,a421,1.27,0.28
2018,original_verbal,a421,1.3333333333333333,0.3333333333333333
2018,paraphrased,a421,1.6666666666666667,0
2021,neutral_verbal,a421,NA,NA
2021,original,a421,NA,NA
2021,original_verbal,a421,0,1
2021,paraphrased,a421,0,1
2012,neutral_verbal,a422,1.394,0.206
2012,original,a422,1.1400000000000001,0.16
2012,original_verbal,a422,0.25,0.75
2012,paraphrased,a422,0.75,0.25
2018,neutral_verbal,a422,1.0999999999999996,0.364
2018,original,a422,0.9700000000000001,0.25
2018,original_verbal,a422,1,0.3333333333333333
2018,paraphrased,a422,0.6666666666666666,0.3333333333333333
2021,neutral_verbal,a422,1.1519999999999995,0.324
2021,original,a422,1.05,0.27
2021,original_verbal,a422,1,0.3333333333333333
2021,paraphrased,a422,1.3333333333333333,0
2012,neutral_verbal,a423,1.11,0.322
2012,original,a423,1.48,0.19
2012,original_verbal,a423,0.5,0.75
2012,paraphrased,a423,0.75,0.5
2018,neutral_verbal,a423,1.25,0.284
2018,original,a423,1.6,0.18
2018,original_verbal,a423,1.6666666666666667,0
2018,paraphrased,a423,1,0.3333333333333333
2021,neutral_verbal,a423,1.1979999999999995,0.362
2021,original,a423,1.5200000000000002,0.27
2021,original_verbal,a423,1.6666666666666667,0.3333333333333333
2021,paraphrased,a423,0.33333333333333337,0.6666666666666666
2012,neutral_verbal,a424,NA,NA
2012,original,a424,NA,NA
2012,original_verbal,a424,2.5,0
2012,paraphrased,a424,2.5,0
2018,neutral_verbal,a424,NA,NA
2018,original,a424,NA,NA
2018,original_verbal,a424,1.6666666666666667,0
2018,paraphrased,a424,2.3333333333333335,0
2021,neutral_verbal,a424,NA,NA
2021,original,a424,NA,NA
2021,original_verbal,a424,1,0.6666666666666666
2021,paraphrased,a424,1.3333333333333335,0.6666666666666666
2012,neutral_verbal,a425,1.7299999999999998,0.144
2012,original,a425,1.6400000000000001,0.09
2012,original_verbal,a425,1.5,0
2012,paraphrased,a425,1.25,0
2018,neutral_verbal,a425,1.684,0.148
2018,original,a425,1.5,0.19
2018,original_verbal,a425,2.3333333333333335,0
2018,paraphrased,a425,1.3333333333333333,0.3333333333333333
2021,neutral_verbal,a425,2.0419999999999994,0.08
2021,original,a425,1.84,0.04
2021,original_verbal,a425,2.6666666666666665,0
2021,paraphrased,a425,1.6666666666666667,0
