wave,condition,item,share_identical_across_repeats,mean_repeat_sd
2012,neutral_verbal,a421,0.96,0.037787266880100846
2012,neutral_verbal,a422,0.8,0.20099740984112896
2012,neutral_verbal,a423,0.7,0.1789869728704528
2012,neutral_verbal,a424,0.59,0.3827965822307988
2012,neutral_verbal,a425,0.76,0.14868711080550784
2012,original,a421,1,NA
2012,original,a422,1,NA
2012,original,a423,1,NA
2012,original,a424,1,NA
2012,original,a425,1,NA
2012,original_verbal,a421,1,NA
2012,original_verbal,a422,1,NA
2012,original_verbal,a423,1,NA
2012,original_verbal,a424,1,NA
2012,original_verbal,a425,1,NA
2012,paraphrased,a421,1,NA
2012,paraphrased,a422,1,NA
2012,paraphrased,a423,1,NA
2012,paraphrased,a424,1,NA
2012,paraphrased,a425,1,NA
2018,neutral_verbal,a421,0.95,0.048741718030204106
2018,neutral_verbal,a422,0.83,0.12130098293024952
2018,neutral_verbal,a423,0.68,0.21285541594081492
2018,neutral_verbal,a424,0.56,0.41364975644100466
2018,neutral_verbal,a425,0.72,0.16813405639081902
2018,original,a421,1,NA
2018,original,a422,1,NA
2018,original,a423,1,NA
2018,original,a424,1,NA
2018,original,a425,1,NA
2018,original_verbal,a421,1,NA
2018,original_verbal,a422,1,NA
2018,original_verbal,a423,1,NA
2018,original_verbal,a424,1,NA
2018,original_verbal,a425,1,NA
2018,paraphrased,a421,1,NA
2018,paraphrased,a422,1,NA
2018,paraphrased,a423,1,NA
2018,paraphrased,a424,1,NA
2018,paraphrased,a425,1,NA
2021,neutral_verbal,a421,0.92,0.07959489224040993
2021,neutral_verbal,a422,0.76,0.19943900807581605
2021,neutral_verbal,a423,0.68,0.19833238378529439
2021,neutral_verbal,a424,0.58,0.39576121262100633
2021,neutral_verbal,a425,0.69,0.18848455692571273
2021,original,a421,1,NA
2021,original,a422,1,NA
2021,original,a423,1,NA
2021,original,a424,1,NA
2021,original,a425,1,NA
2021,original_verbal,a421,1,NA
2021,original_verbal,a422,1,NA
2021,original_verbal,a423,1,NA
2021,original_verbal,a424,1,NA
2021,original_verbal,a425,1,NA
2021,paraphrased,a421,1,NA
2021,paraphrased,a422,1,NA
2021,paraphrased,a423,1,NA
2021,paraphrased,a424,1,NA
2021,paraphrased,a425,1,NA
