wave,item,analysis,n,repeats,ordinal_expected_mae,expected_draw_absolute_error,human_mean,predicted_mean,mean_error,total_variation,human_variance,predicted_variance,variance_ratio
2012,a421,five_draw_empirical_distribution,100,5,1.6320000000000001,1.768,2.43,3.8099999999999987,1.3799999999999986,0.49,1.2651,1.3418999999999996,1.060706663504861
2012,a422,five_draw_empirical_distribution,100,5,1.49,1.586,2.93,4.140000000000001,1.2100000000000004,0.43999999999999995,1.6451,0.8284000000000001,0.5035560148319252
2012,a423,five_draw_empirical_distribution,100,5,1.1760000000000002,1.32,2.69,3.4499999999999975,0.7599999999999976,0.31799999999999967,1.4339,1.0954999999999995,0.7640002789594807
2012,a424,five_draw_empirical_distribution,99,5,0.905050505050505,1.1151515151515152,3.757575757575758,3.9555555555555535,0.1979797979797957,0.09898989898989893,1.213957759412305,1.1091358024691353,0.913652714741973
2012,a425,five_draw_empirical_distribution,100,5,1.002,1.15,3.82,3.361999999999999,-0.45800000000000063,0.15399999999999994,1.0476,1.3509559999999998,1.2895723558610155
2018,a421,five_draw_empirical_distribution,100,5,1.33,1.506,2.95,3.847999999999999,0.8979999999999988,0.3300000000000001,1.7275,1.248896,0.7229499276410999
2018,a422,five_draw_empirical_distribution,100,5,1.286,1.3860000000000001,3.15,4.276,1.126,0.37399999999999994,1.3875000000000002,0.6718240000000001,0.4841974774774775
2018,a423,five_draw_empirical_distribution,100,5,1.18,1.28,3.05,3.713999999999997,0.663999999999997,0.26999999999999996,1.3475000000000004,1.0082039999999997,0.7482033395176247
2018,a424,five_draw_empirical_distribution,99,5,0.7878787878787878,0.9656565656565657,3.9393939393939394,4.121212121212119,0.18181818181817988,0.07070707070707088,0.9862258953168043,0.8216712580348945,0.8331471135940411
2018,a425,five_draw_empirical_distribution,100,5,1.11,1.218,3.9,3.657999999999999,-0.24200000000000088,0.2360000000000002,1.27,1.1410359999999997,0.8984535433070864
2021,a421,five_draw_empirical_distribution,99,5,1.3818181818181818,1.5393939393939393,2.7878787878787876,3.866666666666664,1.0787878787878764,0.3575757575757573,1.682277318640955,1.2266666666666663,0.7291703056768557
2021,a422,five_draw_empirical_distribution,100,5,1.338,1.394,3.24,4.334,1.0939999999999994,0.4079999999999999,1.6024000000000003,0.5224439999999999,0.32603844233649515
2021,a423,five_draw_empirical_distribution,100,5,1.198,1.33,3.02,3.7259999999999986,0.7059999999999986,0.35399999999999976,1.4596,0.8429239999999998,0.5775034255960536
2021,a424,five_draw_empirical_distribution,99,5,0.8363636363636364,0.9696969696969697,3.98989898989899,4.151515151515151,0.16161616161616132,0.056565656565656534,1.262524232221202,0.8275482093663914,0.6554711491837726
2021,a425,five_draw_empirical_distribution,100,5,0.972,1.06,4.23,3.709999999999997,-0.5200000000000036,0.26399999999999985,0.7971000000000001,1.1218999999999997,1.4074771045038257
